text,aspect,sentiment,source,source_row_id
Mau berlangganan tapi mekanisme pembayarannya kurang lancar,Langganan (Subscription & Pricing),Negatif,original,247
bagus . beritanya aktual . semoga makin sukses . 👍,Kualitas Konten,Positif,original,248
"Aplikasi nya bagus, tidak ada masalah dan sangat lancar saat digunakan.",Performa (Technical & Access),Positif,original,249
"Keren bgt Kompas, sering2 promo langganan. Suka dgn berita2 ulasan yg lengkap dan detail",Langganan (Subscription & Pricing),Positif,original,250
"Keren bgt Kompas, sering2 promo langganan. Suka dgn berita2 ulasan yg lengkap dan detail",Kualitas Konten,Positif,original,250
menarik dan memperkaya wawasan semoga tetap independent kompas,Kualitas Konten,Positif,original,251
"Kenapa bayar utk membaca, ngak mampu ya",Langganan (Subscription & Pricing),Negatif,original,252
berita yg sangat uptudate dan independen,Kualitas Konten,Positif,original,254
saya sudah bayar berlangganan tetapi tidak bisa akses,Performa (Technical & Access),Negatif,original,256
Masak pencarian berita nggak urut dari yang terbaru,Fungsionalitas,Negatif,original,257
"Ga usah pake pake email dan kata sandi boss...saya baru, kalo pake ginian lebih baik keluar maaaff",Performa (Technical & Access),Negatif,original,259
"Aplikasi BAGUS, ada e paper yg 100 % sama dgn koran fisik, dan info² ter update",Kualitas Konten,Positif,original,260
"mau baca cerpen karya sastra aja harus berlangganan, makin terbatas ya sekarang",Langganan (Subscription & Pricing),Negatif,original,261
"Saya adalah pelanggan setia Kompas.id, bagus beritanya",Kualitas Konten,Positif,original,262
Harus mbayar user gratisan jangan download,Langganan (Subscription & Pricing),Negatif,original,263
Aplikasi ini sangat penting dalam proses mengikuti perkembangan informasi nasional,Kualitas Konten,Positif,original,264
"Kerenn,,bisa dpt berita setiap hari lewat kompas gak perlu beli koran",Kualitas Konten,Positif,original,265
ulasan kompas sangat enak dibaca dan dicerna. tampilan digital menarik dan e-paper nya selayaknya baca koran kompas spt dulu.,Tampilan (UI/UX),Positif,original,266
ulasan kompas sangat enak dibaca dan dicerna. tampilan digital menarik dan e-paper nya selayaknya baca koran kompas spt dulu.,Kualitas Konten,Positif,original,266
Kasih free trial kek 3 hari minimal biar ngerasain suka atau enggaknya dengan app-nya,Langganan (Subscription & Pricing),Netral,original,267
"Berita Update, penulisan & penyampaian terukur serta terarah..recommended u/ berlangganan berita era digital saat ini",Kualitas Konten,Positif,original,268
Ini bagus banget. Bagus untuk kita menambah wawasan pengetahuan kita,Kualitas Konten,Positif,original,269
banyak ilmu yang bermanfaat. terima kasih Kompas,Kualitas Konten,Positif,original,270
"Apapun medianya, Kompas masih bisa disebut salah satu barometer jurnalik Indonesia, selamat.",Kualitas Konten,Positif,original,275
berita dan featurenya bagus dan mendalam. sering muncul berita investigasi yg mendalam dan berbeda dari lainnya. benar2 jurnalisme berkualitas.,Kualitas Konten,Positif,original,277
"Memperoleh informasi terbaru, dapat dipercaya dan semua aspek kehidupan dengan mudah.",Kualitas Konten,Positif,original,278
Beritanya selaku aktual sesuai facta,Kualitas Konten,Positif,original,279
Keluhan langsung ditindak lanjuti.. mantap 👍,Performa (Technical & Access),Positif,original,282
"saatnya baca berita yg akurat, terpercaya,..",Kualitas Konten,Positif,original,283
"ok bagus berita nya,,, lanjutkan saja,,,siiip..josss",Kualitas Konten,Positif,original,284
"Mendalam, berimbang, dan mendudukan persoalan untuk mendapatkan solusi tanpa menghakimi pihak2 yg menciptakan persoalan.",Kualitas Konten,Positif,original,286
Wawasan makin bertambah klo baca Kompas,Kualitas Konten,Positif,original,287
Ter..update dan bisa dipercaya dr zaman koran ya nice,Kualitas Konten,Positif,original,288
Memang kt.perlu angkat jempol buat Kompas berita yg akurat dan terukur..selamat buat Koompas ya?,Kualitas Konten,Positif,original,290
"Beritanya tersajih lebih lengkap,saran kalau bisa sertakan video pendeknya",Kualitas Konten,Positif,original,291
"Puas, dg isi berita terpercaya",Kualitas Konten,Positif,original,295
Berbayar mending baca di tempat lain,Langganan (Subscription & Pricing),Negatif,original,296
"Mendapatkan informasi yg lengkap setiap pagi dari politik, ekonomi, olah raga dan apa yg menjadi issue yg terbaru.",Kualitas Konten,Positif,original,297
"Berita nya akurat, enak dibaca",Kualitas Konten,Positif,original,298
ditambah lagi dong ulasan berita daerah Jawa Tengah.,Kualitas Konten,Netral,original,300
"baca berita aja bayar harus langganan, gimana mau pintar masyarakatnya",Langganan (Subscription & Pricing),Negatif,original,302
"Mau baca berita aja berbayar??? Lebih baik cari cara lain,di internet sekarang banyak cara dan gak bayar.",Langganan (Subscription & Pricing),Negatif,original,304
Percuma ada aplikasi kalo mau baca masih dilempar ke browser webview,Fungsionalitas,Negatif,original,308
"berita update. ulasan berimbang, dapat dipercaya, dan memperkaya wawasan. bukan sekadar clickbait. bahasanya pun bagus.",Kualitas Konten,Positif,original,309
"Saya unisntal aplikas kompas... banyak aplikasi lain yg gk mintak berlangganan baca artikelnya ...seperti detik, republika dll.",Langganan (Subscription & Pricing),Negatif,original,310
beritanya sangat aktual dan terpercaya,Kualitas Konten,Positif,original,311
"Baik juga, cuman beritanya kurang akurat..",Kualitas Konten,Negatif,original,312
Jadi ini ya media nasional sialan itu yg suka blackcampaign pak anies,Kualitas Konten,Negatif,original,314
Bagus banget rekemond buat baca koran and apknya gratis topo deh buat kompas.id👍,Kualitas Konten,Positif,original,315
KOMPAS Punya dendam apaan ama pak Anis,Kualitas Konten,Negatif,original,316
Parah sih kompas. Gak nyambung antara foto sama beritanya. Bawa ke Dewan Pers aja pak.,Kualitas Konten,Negatif,original,317
Merawat jurnalisme dengan pemberitaan yang berkualitas.,Kualitas Konten,Positif,original,319
"Yaaxchaa kalau cari berita yang terhangat dan terpercaya disini ni , Aplikasi ini tempatnya,",Kualitas Konten,Positif,original,320
keren aplikasinya. baca berita nya lengkap,Kualitas Konten,Positif,original,321
"Mantap Kompas, selalu berinovasi. Konten berkualitas terus semakin mudah diakses!",Kualitas Konten,Positif,original,322
Masya allah aplikasinya bagus untuk pembaca berita dan terjamin kualitasnya insya allah,Kualitas Konten,Positif,original,324
Lebih lengkap dan lebih informatif,Kualitas Konten,Positif,original,325
Semakin update dg berita terkini.,Kualitas Konten,Positif,original,327
"Memang beda, konsisten menyajikan fakta dan data. Thanks",Kualitas Konten,Positif,original,328
Kompas berita independen teraktual dan profesional,Kualitas Konten,Positif,original,329
inisangat membantu sy trutama mendptkan berita ygup tothat.sysangat butuhdhn beritaataunews ygterbaru jelasnarasumbernya dandpt dipercaya.,Kualitas Konten,Positif,original,331
"Sudah pilih opsi berlangganan, sudah konfirmasi berlangganan, tapi di aplikasi masih belum berlangganan.",Performa (Technical & Access),Negatif,original,332
Cukup baik berita nya namun tingkatkan lagi yg lebih update 😊,Kualitas Konten,Netral,original,334
Untk mengetahui berita2 terpenting dalam kehidupan sehari-hari dan juga bisa digunakan sebagai alat bantu.,Kualitas Konten,Positif,original,335
"Berita nya gak update apalagi tentang club sepakbola. Tidak ada update transfer pemain, isu transfer.",Kualitas Konten,Negatif,original,336
Aplikasi ini bisa menjadi referensi untuk baca berita dari Indonesia lho!,Kualitas Konten,Positif,original,337
Aplikasi mudah digunakan dan isi berita update terpercaya,Kualitas Konten,Positif,original,338
Sudah berlangganan berbayar. Tapi fitur premium tidak aktif. Tolong diberesin dong. Ada bugs di aplikasi.,Performa (Technical & Access),Negatif,original,339
"harus bayar, tidak ada versi trial. kita mau baca berita offline",Fungsionalitas,Netral,original,341
"harus bayar, tidak ada versi trial. kita mau baca berita offline",Langganan (Subscription & Pricing),Negatif,original,341
Webnya full iklan. Jijik lihatnya. Cari duit ampe begitunya amat. Tolol tim kalian.,Tampilan (UI/UX),Negatif,original,343
Webnya full iklan. Jijik lihatnya. Cari duit ampe begitunya amat. Tolol tim kalian.,Langganan (Subscription & Pricing),Negatif,original,343
Ribet bacanya. Krng praktis tata letak dlm setiap rubrik,Tampilan (UI/UX),Negatif,original,345
"Beritanya akurat, sederhana dan jelas",Kualitas Konten,Positif,original,348
"Kompatibel dan mudah digunakan, perlu ditingkatkan terus.",Tampilan (UI/UX),Positif,original,349
Paling ditunggu kompas minggu cerpen dan TTS ya yg sangat menghibur..,Kualitas Konten,Positif,original,350
"Sudah berlangganan berbayar, tapi tetap tidak bisa akses fitur premiumnya. Customer service sulit dihubungi, respon sangat lambat.",Performa (Technical & Access),Negatif,original,352
Saya percaya sajian2 Kompas yang profesional dan independen,Kualitas Konten,Positif,original,353
Saya suka membaca berita di aplikasi ini dan turut berlangganan. Koran Kompas memang mengusung jurnalisme berkualitas.,Kualitas Konten,Positif,original,356
Beritanya objektif dan seimbang .,Kualitas Konten,Positif,original,359
"sdh brlangganan, gak bisa bca e paper. dan selalu diarahkan via ke google play. jelek😡",Performa (Technical & Access),Negatif,original,360
Kompas id gak bisa landscape ya?,Tampilan (UI/UX),Negatif,original,361
Kompas sangat penting untuk dibaca sintaksisnya apik.,Kualitas Konten,Positif,original,362
koran digitalnya berbayar pdhl udah didownload tp ga bisa dibuka males bgt kalo hrs nonton iklan justru gpp,Performa (Technical & Access),Negatif,original,364
Saran : harusnya buat paket Rp. 1000. Jadi enak buat test test dulu. Kalau sor baru..lanjut,Langganan (Subscription & Pricing),Netral,original,365
Sangat bagus dan bisa dipercaya,Kualitas Konten,Positif,original,366
Saya jengkel dgn Kompas e paper. Saya mau berhenti saja setelah sejak 1967 langganan Kompas,Fungsionalitas,Negatif,original,367
Saya jengkel dgn Kompas e paper. Saya mau berhenti saja setelah sejak 1967 langganan Kompas,Langganan (Subscription & Pricing),Negatif,original,367
"Bagus, Daripada langganan koran Kompas yang hardcopy lebih baik yang digital, Bisa dibawa dan dibaca dimana-mana 🙂...",Langganan (Subscription & Pricing),Positif,original,369
Saya tak suka aja aplikasi berita tapi berbayar 🙄,Langganan (Subscription & Pricing),Negatif,original,370
"Bagus, mendalam, dan terpercaya, cepat, represehtatif",Kualitas Konten,Positif,original,372
Banyak informasi baru yang up to date dan terpercaya sumbernya. Saya suka baca kompas sejak usia 12 tahun,Kualitas Konten,Positif,original,373
Susah download walaupun kuota penuh... tapi saya merasa koneksi internet dan kuota saya mencukupi.. ini aneh... tujuan saya update..🙏,Performa (Technical & Access),Negatif,original,374
Bagaimana cara berhenti berlangganan.... Ga ketemu caranya,Langganan (Subscription & Pricing),Netral,original,375
Akurat dlm pemberitsanx dan sangat di percaya,Kualitas Konten,Positif,original,376
Sudah dilakukan pembayaran tapi status masih belum aktif. Kecewa dengan Kompas,Performa (Technical & Access),Negatif,original,377
Sangat membantu mendapatkan informasi dan tulisan yg mencerahkan,Kualitas Konten,Positif,original,379
"Berita aktual dan terpercaya , kompas tetap yang terbaik , netralitas adalah kunci keadilan ,,,",Kualitas Konten,Positif,original,381
Khusus covid media knp memberi berita yg sll menyeramkan pdhl 95% covid bs sembuh dan kurang pemberitaan,Kualitas Konten,Negatif,original,383
"Berita Lengkap, Ulasan dengan bahasa yg tinggi, ciri dari kompas tdk pernah berubah",Kualitas Konten,Positif,original,384
Informasi yg up to date hingga tidak termakan berita hoax,Kualitas Konten,Positif,original,385
Beritanya dari zaman dulu sampai sekarang dapat dipercayadan terkemuka,Kualitas Konten,Positif,original,386
"Kompas menurut gue dah lama di Indonesia dan berbagai sumber berita akurat,terpercaya",Kualitas Konten,Positif,original,388
"Beritakan yg benar/ril bukan pencitraan, iklan jangan berlebihan",Kualitas Konten,Netral,original,389
Tidak bersikap netral sebagai pemberi berita. Beritanya hoak semua demi kepentingan pihak tertentu,Kualitas Konten,Negatif,original,390
Membaca harian kompas lbh oercaya daripd google indonesia,Kualitas Konten,Positif,original,391
kira in bisa baca berlanggan dulu 50.000 rupiah,Langganan (Subscription & Pricing),Netral,original,392
Agak nge lag gitu ya,Performa (Technical & Access),Negatif,original,393
"Harian Kompas salah surat kabar yang berani mengungkap kebenaran, tidak memihak dan berpihak",Kualitas Konten,Positif,original,396
"Walaupun berbayar, content content nya sangat bagus di banding yang lain. Good apps",Kualitas Konten,Positif,original,397
NETRALAH.........DALAM MEMBERIKAN BERITA JANGAN PRO KE PEMERINTAH JUGA JANGAN JUGA PRO KE PIHAK OPOSISI...PAYAH....AUTO UNINSTAL...,Kualitas Konten,Negatif,original,399
Memuaskan. Apa epaper tak bisa full warna,Fungsionalitas,Netral,original,400
Berita sampah aja pake berbayar.. ajiggg,Langganan (Subscription & Pricing),Negatif,original,401
Berita sampah aja pake berbayar.. ajiggg,Kualitas Konten,Negatif,original,401
Beritanya selalu terbaru dan kopeten dan bersifat netral.bagus,Kualitas Konten,Positif,original,402
Berita2 di kompas singkat dan akurat,Kualitas Konten,Positif,original,403
