Komentar,UI/UX,Functionality,Subscription & Pricing,Content Quality,Technical & Access
"Apakah aplikasi ini bisa tersedia di Windows Store? Lebih nyaman membaca di PC dan Laptop, jadi ditunggu kehadirannya di platform tersebut.",,,,,0.0
"Apakah bisa ada opsi gratis untuk membaca artikel dan buku di aplikasi ini, supaya semua orang bisa akses konten tanpa perlu bayar?",,,0.0,,
"Apakah bisa ada paket berlangganan yg lebih murah, misalnya Rp. 1000, buat coba-coba dulu sebelum ambil paket yg lebih mahal?",,,0.0,,
Apakah bisa ada trial gratis minimal 3 hari buat coba-coba dulu sebelum berlangganan,,,0.0,,
Apakah bisa aplikasi ini dioptimalkan agar lebih stabil dan minim bug? Semoga update berikutnya lebih cepat dan interface lebih mudah digunakan. Terima kasih,,,,,0.0
Apakah bisa aplikasi ini dioptimalkan agar loading lebih cepat dan error server berkurang? Semoga update berikutnya lebih stabil. Terima kasih,,,,,0.0
Apakah bisa bayar langganan pake pulsa telkomsel,,,0.0,,
Apakah bisa coba dulu sebelum bayar langganan 50 ribu?,,,0.0,,
Apakah bisa dikasih trial gratis minimal 3 hari biar bisa coba aplikasinya dulu sebelum berlangganan,,,0.0,,
Apakah bisa ditambahkan animasi transisi halaman pada fitur epaper agar pengalaman membaca lebih mirip dengan membaca koran fisik?,0.0,,,,
Apakah bisa ditambahkan filter pencarian untuk menampilkan berita paling populer atau terbaru?,,0.0,,,
Apakah bisa ditambahkan fitur back to top dengan klik tab aktif dan refresh otomatis untuk kembali ke konten teratas?,,0.0,,,
"Apakah bisa ditambahkan fitur kompaskarier di aplikasi ini seperti yang ada di website kompas? Mohon dipertimbangkan, terima kasih.",,0.0,,,
Apakah bisa ditambahkan fitur reminder notifikasi harian supaya lebih mudah ingat buka aplikasi?,,0.0,,,
"Apakah bisa ditambahkan fitur rotasi layar otomatis saat hp dimiringkan ke posisi horizontal, dan juga memungkinkan akses arsip edisi lama minimal 10 tahun ke belakang seperti di aplikasi pembaca e-book lainnya?",,0.0,,,
"Apakah bisa ditambahkan fitur tab favorit yang stabil dan konsisten, serta opsi endless scrolling untuk browsing berita dari berbagai tanggal, bukan hanya edisi hari ini? Juga mohon dipertimbangkan agar di e-paper, judul berita bisa berfungsi sebagai link yang langsung membuka tampilan baca.",,0.0,,,
"Apakah bisa ditambahkan fitur tab khusus untuk endless scrolling berita sehingga tidak hanya menampilkan berita hari itu saja, dan untuk epaper mohon jadikan judul berita sebagai link yang bisa langsung diklik untuk beralih ke tampilan baca.",0.0,,,,
Apakah bisa ditambahkan free trial minimal 3 hari biar bisa coba-coba dulu sebelum berlangganan?,,,0.0,,
"Apakah bisa ditambahkan metode pembayaran lain untuk berlangganan, seperti voucher google play atau cara lainnya.",,,0.0,,
Apakah bisa ditambahkan opsi download e-paper untuk dibaca offline saat di pesawat atau area tanpa sinyal? Tks,,0.0,,,
Apakah bisa ditambahkan opsi untuk akses kompas one?,,0.0,,,
"Apakah bisa ditambahkan paket berlangganan dengan harga lebih terjangkau, seperti Rp 1000, biar bisa coba dulu sebelum lanjut ke paket yang lebih mahal?",,,0.0,,
"Apakah bisa ditambahkan paket gratis yang lebih banyak untuk pelajar dan mahasiswa, karena saat ini hanya tersedia tiga kali akses gratis dan dirasa kurang untuk kebutuhan membaca berita secara rutin.",,,0.0,,
Apakah bisa ditambahkan paket langganan dengan harga lebih terjangkau seperti Rp. 1000 untuk trial awal sebelum upgrade ke paket yang lebih tinggi?,,,0.0,,
Apakah bisa interface aplikasi ini dibuat lebih user-friendly dan responsif saat digunakan? Terima kasih,0.0,,,,
Apakah bisa konten artikel dan buku tersedia tanpa perlu bayar supaya semua orang bisa akses untuk membaca,,,0.0,,
Apakah bisa langganan lewat transfer bank biasa atau ada metode pembayaran lain,,,0.0,,
Apakah bisa langganan pakai pulsa dari operator telkomsel,,,0.0,,
"Apakah bisa menambah metode pembayaran untuk langganan, seperti voucher google play atau opsi lainnya?",,,0.0,,
"Apakah bisa semua artikel dan buku bisa diakses gratis tanpa perlu berlangganan berbayar, supaya lebih banyak orang yang bisa membaca",,,0.0,,
Apakah file e-paper dan buku yang sudah diunduh bisa disimpan di aplikasi agar tidak perlu download ulang setiap kali mau dibaca?,,0.0,,,
"Apakah file e-paper dan buku yang sudah diunduh bisa disimpan secara permanen, atau memang harus diunduh ulang setiap kali mau dibaca?",,0.0,,,
"Apakah fitur TTS tersedia untuk e-paper versi online? Jika tersedia, bagaimana cara mendapatkan kupon yang diperlukan untuk menggunakannya? Mohon penjelasannya, terima kasih.",,0.0,,,
Apakah fitur audio bisa digunakan dengan airpods atau headphone wireless lainnya.,,0.0,,,
Apakah fitur download e-paper hanya tersedia untuk pengguna premium?,,,0.0,,
Apakah fitur e-paper bisa di-print langsung dari aplikasi ya?,,0.0,,,
Apakah fitur e-paper bisa ditampilkan dalam mode full warna?,,0.0,,,
Apakah fitur kliping bisa diakses offline tanpa perlu koneksi internet?,,0.0,,,
Apakah fitur kompaskarier bisa ditambahkan di aplikasi ini seperti yang tersedia di website kompas?,,0.0,,,
Apakah fitur print untuk e-paper sudah tersedia di aplikasi ini?,,0.0,,,
Apakah fitur tampilan landscape untuk membaca artikel akan ditambahkan di aplikasi ini,0.0,,,,
"Apakah fitur text-to-speech tersedia juga untuk membaca e-paper secara online, dan bagaimana cara mendapatkan kupon yang diperlukan untuk mengaksesnya?",,0.0,,,
Apakah fitur unduh epaper ke format PDF masih tersedia di aplikasi versi terbaru ini? Saya pelanggan berbayar dan ingin tahu cara mengakses fitur tersebut untuk keperluan kliping digital saya.,,0.0,,,
Apakah kompas id bisa diakses gratis atau harus berlangganan di aplikasi android?,,,0.0,,
Apakah memang harus berlangganan untuk bisa akses semua konten di kompas id,,,0.0,,
Apakah menu kategori berita bisa ditampilkan di bagian bawah layar untuk memudahkan akses navigasi?,0.0,,,,
Apakah menu navigasi kategori berita bisa ditambahkan di bagian bawah layar untuk akses lebih mudah,0.0,,,,
Apakah semua artikel harus berlangganan untuk dibaca,,,0.0,,
Apakah semua berita di aplikasi ini memerlukan pembayaran langganan?,,,0.0,,
Apakah semua berita harus berlangganan dulu untuk bisa dibaca?,,,0.0,,
Apakah semua berita memerlukan paket berlangganan untuk dibaca?,,,0.0,,
Apakah semua berita memerlukan paket berlangganan?,,,0.0,,
Apakah sudah ada fitur rotasi layar landscape untuk membaca berita?,0.0,,,,
Apakah sudah ada opsi mode landscape untuk membaca artikelnya?,0.0,,,,
Apakah sudah ada opsi tampilan horizontal untuk membaca berita dengan lebih lebar?,0.0,,,,
Apakah tersedia fitur untuk mengakses e-paper edisi lampau melalui arsip di aplikasi kompas id,,0.0,,,
Apakah tersedia paket langganan yang bisa dibayar mingguan,,,0.0,,
"Aplikasi BAGUS, ada e paper yg 100 % sama dgn koran fisik, dan info² ter update",,,,1.0,
"Aplikasi Kompas ID terus ngisi memori internal padahal harusnya bisa disimpan ke SD card saat download, aplikasi lain udah bisa gitu tapi ini masih belum. Kalo ga diperbaiki mungkin aku bakal cancel langganan nih.",,,,,-1.0
"Aplikasi Kompas di iPad lumayan bagus sih, cuma sayangnya masih sering lag dan kadang force close waktu ganti-ganti tab, jadi agak mengganggu pengalaman membaca beritanya.",,,,,-1.0
"Aplikasi Kompas di iPhone saya sering hang pas mau buka artikel, stuck di loading terus ga mau lanjut. Tolong diperbaiki ya.",,,,,-1.0
"Aplikasi Kompas sering crash padahal saya beli iPad khusus buat baca berita di sini, sangat mengecewakan. Setiap kali dibuka langsung force close, padahal aplikasi lain lancar jaya. Gimana mau berlangganan kalo aplikasinya aja ga stabil, tolong dong diperbaiki secepatnya.",,,,,-1.0
"Aplikasi Kompas sering force close pas saya scroll berita, apalagi udah update iOS 16.0.2. Ga sampe 5 judul langsung crash, padahal aplikasinya juga udah di-update terbaru. Udah coba uninstall dan install ulang tapi masalahnya tetap aja.",,,,,-1.0
"Aplikasi Kompas sudah lancar banget setelah update terbaru, login jadi mudah dan nggak ada lag, performanya stabil dan responsif. Mantap buat tim developernya!",,,,,1.0
"Aplikasi Kompas udah jauh lebih responsif setelah update terakhir, loading cepat dan ga pernah lag saat browsing berita, tapi sayang batasan device-nya masih bikin bingung.",,,,,1.0
"Aplikasi bagus sih, tapi ada masalah teknis pas download ePaper. Setiap kali keluar aplikasi harus di-install ulang, padahal dulu ga gitu. Ini mulai terjadi setelah update terbaru. Semoga tim developer baca feedback ini dan segera benerin. Maaf kasih bintang 3/5 aja.",,,,,-1.0
"Aplikasi bagus tp sayang harus bayar mahal buat bisa akses berita lengkap, padahal informasi itu seharusnya bisa diakses semua orang tdk hanya yg mampu bayar, di kondisi ekonomi skrg ini beban biaya langganan jadi terlalu berat dan ga semua kalangan bisa terjangkau.",,,-1.0,,
Aplikasi berita bagus tapi sayang harus bayar langganan 😕,,,-1.0,,
"Aplikasi berita yang punya interface super ringan dan nyaman dipandang, bikin pengalaman baca jadi bener2 menyenangkan bgt.",1.0,,,,
"Aplikasi berjalan dengan mulus di iPad, terima kasih atas support developer yang responsif!",,,,,1.0
Aplikasi berjalan sangat stabil dan ga pernah crash selama sebulan pemakaian ini.,,,,,1.0
"Aplikasi berjalan stabil dan responsif, meskipun login via Apple ID kadang bermasalah, tapi customer service lewat WA sangat membantu dan cepat tanggap, hanya telepon aja yang jarang diangkat, overall performa aplikasinya bagus bgt.",,,,,1.0
Aplikasi berjalan stabil dan tidak pernah crash selama sebulan terakhir ini,,,,,1.0
Aplikasi crash di versi 11.3 saat pertama kali login setelah menginstal aplikasi,,,,,-1.0
Aplikasi crash terus di ipad.. udah bayar setahun tp ga bisa dipakai.. tolong diperbaiki asap,,,,,-1.0
"Aplikasi cukup bagus, berita lengkap, mudah download e paper. Tapi sayangnya gabisa tampilan landscape, padahal baca koran lebih enak landscape ya.
Akan saya ubah jadi bintang 5 kalau mode landscape sudah diaktifkan 😊",-1.0,1.0,,1.0,
"Aplikasi dan web tersinkronisasi dengan baik, data akun selalu update tanpa masalah",,,,,1.0
"Aplikasi di iPhone 12Pro iOS 18.2 punya masalah layout, margin samping kiri kanan jadi terpotong dan bikin konten berita susah dibaca. Padahal di browser lancar aja. Tolong diperbaiki dong!",-1.0,,,,
"Aplikasi e-paper nya lemot banget, setiap buka harus download ulang dan bikin aplikasi jadi berat, padahal harusnya bisa langsung tersimpan jadi ga perlu download berkali-kali.",,,,,-1.0
"Aplikasi error terus, ga bisa login, mesti bayar segala.. payah bgt deh, mending pake detik aja",,,,,-1.0
Aplikasi ga bisa diakses harus login dulu gmn sih caranya,,,,,-1.0
"Aplikasi ga bisa dibuka sama sekali dan konten gak bisa diakses padahal udah langganan 1 tahun, udah hampir sebulan gini terus dan customer service nya ga ada yang bantuin sama sekali.",,,,,-1.0
"Aplikasi iPad Kompas.id sayang banget, ga support landscape mode padahal banyak konten infografis yg seharusnya lebih nyaman dibaca horizontal. Tampilan portrait-only bikin pengalaman user jauh lebih terbatas dibanding akses lewat web, jadi honestly lebih praktis buka browser aja daripada repot pake aplikasi.",-1.0,,,,
"Aplikasi iPad, tombol kembali sederhana di bagian atas terus crash",,,,,-1.0
"Aplikasi ini benar-benar responsif, loading cepat banget dan ga pernah lag saat dipakai",,,,,1.0
Aplikasi ini berjalan lancar dan tidak boros baterai sama sekali di perangkat saya.,,,,,1.0
"Aplikasi ini di iOS sering force close, padahal udah dibuka tapi langsung keluar sendiri, udah di-reinstall berkali-kali tp masalahnya tetap aja",,,,,-1.0
"Aplikasi ini error terus di iOS 11, ga bisa dibuka sama sekali malah langsung force close. Kompas kayaknya ga serius-serius amat dalam develop aplikasinya. Sayang banget, jauh ketinggalan dibanding kompetitor digital lainnya.",,,,,-1.0
"Aplikasi ini keren bgt, beritanya lengkap dan informatif banget, bisa nambah wawasan dan pengetahuan saya setiap hari.",,,,1.0,
"Aplikasi ini lancar banget, praktis buat dibaca kapan saja dan dimana saja",,,,,1.0
"Aplikasi ini lancar dan stabil di perangkat iOS 12 saya, loading berita cepat dan ga pernah crash, cuma sarannya semoga di update berikutnya bisa ditambah fitur untuk customize ukuran font biar lebih nyaman dibaca.",,,,,1.0
"Aplikasi ini loading cepat banget, praktis buat dibaca kapan aja dan dimana aja tanpa ribet",,,,,1.0
"Aplikasi ini loading cepat dan ringan, jadi bisa dibuka dimana saja tanpa ribet",,,,,1.0
Aplikasi ini loading cepat dan stabil meski jaringan internet lagi lemot,,,,,1.0
Aplikasi ini loading cepat dan stabil meskipun koneksi internetnya lagi lemot.,,,,,1.0
"Aplikasi ini loading-nya super cepat, bahkan saat buka berita yang penuh sama gambar sekalipun tetap lancar banget.",,,,,1.0
"Aplikasi ini lumayan sih, tapi fitur scrolling-nya sering nunjukin berita yang sama berkali-kali, padahal harusnya bisa lompat ke berita lama jadi pembacaan jadi terbatas banget.",,-1.0,,,
"Aplikasi ini lumayan sih, tapi navigasi e-paper nya kurang user-friendly. Ga ada tombol untuk balik ke halaman utama, jadi setiap kali selesai baca harus close aplikasi terus buka lagi baru bisa akses menu lainnya. Mohon ditambahkan fitur navigasi yang lebih praktis ya.",,-1.0,,,
"Aplikasi ini lumayan untuk baca berita Kompas, tapi sayangnya fitur e-paper digital masih belum tersedia dan itu jadi kekurangan utamanya.",,-1.0,,,
"Aplikasi ini menyajikan berita dan artikel dari berbagai rubrik dengan cakupan nasional hingga internasional yang sangat lengkap dan komprehensif, cocok banget jadi sumber informasi terpercaya.",,,,1.0,
Aplikasi ini menyajikan berita-berita terkini dengan cakupan yang sangat lengkap dan komprehensif!!,,,,1.0,
"Aplikasi ini minta bayar untuk baca berita, padahal banyak platform berita gratis lainnya. Sayang uang buat langganan app ini, mending cari alternatif lain aja 👎",,,-1.0,,
"Aplikasi ini responsif dan lancar meski koneksi internetnya lagi lemot, performa tetap stabil banget.",,,,,1.0
"Aplikasi ini responsif dan stabil meski koneksi internet lagi lemot, loading tetap cepat.",,,,,1.0
"Aplikasi ini ribet banget, harus login terus menerus juga",,,,,-1.0
"Aplikasi ini ringan dan responsif, memudahkan saya buat baca berita kapan saja dimana saja",,,,,1.0
"Aplikasi ini sampah bgt, pengen baca artikel dikit aja langsung diminta bayar!! 😤 Uninstall deh",,,-1.0,,
Aplikasi ini sangat berguna untuk mendapatkan berita terbaru dan memperluas wawasan lewat berbagai perspektif penulis yang kredibel,,,,1.0,
"Aplikasi ini sangat responsif, loading berita dengan gambar banyak juga ga lemot sama sekali.",,,,,1.0
"Aplikasi ini sering banget force close, bahkan 3 kali dalam 5 menit itu udah keterlaluan. Terus, fitur landscape mode di iPad juga ga ada padahal itu basic banget. Akses berita premium juga ribet—ga ada opsi subscribe langsung di app, harus lewat web. Honestly, versi web jauh lebih stabil dan lengkap dibanding aplikasi ini.",,,,,-1.0
"Aplikasi ini sering error saat login, apalagi pas mau perpanjang langganan. Server nya lemot bgt dan sering force close. Padahal saya pelanggan setia lebih dr 15 tahun, tapi masalah teknis gini ga pernah ditangani dengan baik. Payah!",,,,,-1.0
"Aplikasi ini sering force close pas dibuka, bikin pengalaman pengguna jadi berantakan. Kualitas berita bagus tapi aplikasinya bermasalah, jauh dari standar Kompas yang terkenal.",,,,,-1.0
"Aplikasi ini sering hang, loading-nya super lama banget sampai akhirnya error dan gagal buka. Ini terjadi terus-menerus padahal udah bayar langganan setahun, jadi kecewa... Padahal Kompas.id tuh sumber berita terpercaya sih.",,,,,-1.0
"Aplikasi ini stabil banget, ga pernah crash selama sebulan pemakaian terakhir",,,,,1.0
"Aplikasi ini stabil banget, nggak pernah crash selama sebulan terakhir saya pakai",,,,,1.0
Aplikasi ini tetap lancar dan responsif meskipun jaringan internet lagi lemot.,,,,,1.0
"Aplikasi ini udah berjalan dengan stabil dan responsif di iPhone saya dengan iOS 12, loading berita juga cepat dan ga pernah crash. Semoga ke depannya bisa ditambah fitur pengaturan ukuran font biar lebih fleksibel saat membaca.",,,,,1.0
"Aplikasi ini udah ga kompatibel sama iOS 12.5.5, jadi gabisa dibuka sama sekali. Mau terus langganan atau harus ganti HP? Bingung banget..",,,,,-1.0
"Aplikasi ini udah jalan dengan stabil di iPhone saya yang pakai iOS 12, loading berita cepat dan nggak pernah crash sama sekali, cuma semoga ke depannya bisa ditambahkan fitur untuk customize ukuran font biar lebih nyaman dibaca.",,,,,1.0
"Aplikasi jadi lebih lancar setelah update terbaru, mantap banget!",,,,,1.0
"Aplikasi kompas digital ga bisa dibuka di ipad mini 3 saya sejak kemarin, mohon dikembalikan ke sistem lama dong",,,,,-1.0
"Aplikasi kompas digital premium ga mau jalan di ios 12.1.2, mohon segera di update biar bisa diakses",,,,,-1.0
Aplikasi kompas id lancar diakses dan tim support-nya sangat responsif bantu atasi masalah login saya dengan cepat,,,,,1.0
"Aplikasi kompas id sekarang jauh lebih lancar dan stabil, ga pernah force close lagi setelah update terbaru",,,,,1.0
"Aplikasi kompas id sekarang jauh lebih lancar, ga pernah error dan stabilnya bgt setelah update terbaru",,,,,1.0
"Aplikasi kompas id sekarang jauh lebih responsif dan lancar, ga pernah force close lagi setelah update terbaru",,,,,1.0
